path, type, name, display, slot, race
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Black.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Black, High Tops - Black, Feet, HumanFemale
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Black.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Black, High Tops - Black, Feet, HumanFemaleDCS
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Black.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Black, High Tops - Black, Feet, HumanFemaleHighPoly
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Turquoise.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Turquoise, High Tops - Turquoise, Feet, HumanFemale
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Turquoise.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Turquoise, High Tops - Turquoise, Feet, HumanFemaleDCS
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_Turquoise.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_Turquoise, High Tops - Turquoise, Feet, HumanFemaleHighPoly
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_White.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_White, High Tops - White, Feet, HumanFemale
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_White.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_White, High Tops - White, Feet, HumanFemaleDCS
Assets/UMA/Content/Contrib/F_Shoes/FemaleTallShoes_White.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTallShoes_White, High Tops - White, Feet, HumanFemaleHighPoly
Assets/UMA/Content/Contrib/FemaleLongHair/FemaleLongHair_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleLongHair_Recipe, FemaleLongHair, Hair, HumanFemale
Assets/UMA/Content/Contrib/FemaleLongHair/FemaleLongHair_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleLongHair_Recipe, FemaleLongHair, Hair, HumanFemaleDCS
Assets/UMA/Content/Contrib/FemalePonyTail/FemalePonyTail_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemalePonyTail_Recipe, FemalePonyTail, Hair, HumanFemale
Assets/UMA/Content/Contrib/FemalePonyTail/FemalePonyTail_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemalePonyTail_Recipe, FemalePonyTail, Hair, HumanFemaleDCS
Assets/UMA/Content/Contrib/FemaleSportPants/FemaleSportPants_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleSportPants_Recipe, FemaleSportPants, Legs, HumanFemale
Assets/UMA/Content/Contrib/FemaleSportPants/FemaleSportPants_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleSportPants_Recipe, FemaleSportPants, Legs, HumanFemaleDCS
Assets/UMA/Content/Contrib/FemaleTankTop/FemaleTankTop_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTankTop_Recipe, FemaleTankTop, Chest, HumanFemale
Assets/UMA/Content/Contrib/FemaleTankTop/FemaleTankTop_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleTankTop_Recipe, FemaleTankTop, Chest, HumanFemaleDCS
Assets/UMA/Content/Contrib/Male_ShavedHead/ShavedHead.asset, UMA.CharacterSystem.UMAWardrobeRecipe, ShavedHead, Buzzcut, Hair, HumanMale
Assets/UMA/Content/Contrib/Male_ShavedHead/ShavedHead.asset, UMA.CharacterSystem.UMAWardrobeRecipe, ShavedHead, Buzzcut, Hair, HumanMaleDCS
Assets/UMA/Content/Contrib/Male_ShavedHead/ShavedHead.asset, UMA.CharacterSystem.UMAWardrobeRecipe, ShavedHead, Buzzcut, Hair, HumanMaleHighPoly
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Black_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Black_Recipe, Tall Shoes Black, Feet, HumanMale
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Black_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Black_Recipe, Tall Shoes Black, Feet, HumanMaleDCS
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Black_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Black_Recipe, Tall Shoes Black, Feet, HumanMaleHighPoly
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Recipe, Tall Shoes, Feet, HumanMale
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Recipe, Tall Shoes, Feet, HumanMaleDCS
Assets/UMA/Content/Contrib/Male_TallShoes/TallShoes_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, TallShoes_Recipe, Tall Shoes, Feet, HumanMaleHighPoly
Assets/UMA/Content/Contrib/MaleHairSlick01/MaleHairSlick01_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleHairSlick01_Recipe, HairX, Hair, HumanMale
Assets/UMA/Content/Contrib/MaleHoodie/MaleHoodie_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleHoodie_Recipe, MaleHoodie, Chest, HumanMale
Assets/UMA/Content/Contrib/MaleHoodie/MaleHoodie_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleHoodie_Recipe, MaleHoodie, Chest, HumanMaleDCS
Assets/UMA/Content/Contrib/MaleShortHair/MaleShortHair_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleShortHair_Recipe, MaleShortHair, Hair, HumanMale
Assets/UMA/Content/Contrib/MaleShortHair/MaleShortHair_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleShortHair_Recipe, MaleShortHair, Hair, HumanMaleDCS
Assets/UMA/Content/Contrib/MaleSweatPants/MaleSweatPants_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSweatPants_Recipe, MaleSweatPants, Legs, HumanMale
Assets/UMA/Content/Contrib/MaleSweatPants/MaleSweatPants_Recipe.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSweatPants_Recipe, MaleSweatPants, Legs, HumanMaleDCS
Assets/UMA/Content/Contrib/Milcut/MilCut.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MilCut, Military Cut, Hair, HumanMale
Assets/UMA/Content/Contrib/Milcut/MilCut.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MilCut, Military Cut, Hair, HumanMaleDCS
Assets/UMA/Content/Contrib/Milcut/MilCut.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MilCut, Military Cut, Hair, HumanMaleHighPoly
Assets/UMA/Content/Core/HumanFemale/Recipes/Wardrobe Recipes/HumanFemale/FemaleHandsMid.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHandsMid, , Hands, HumanFemale
Assets/UMA/Content/Core/HumanFemale/Recipes/Wardrobe Recipes/HumanFemale/FemaleHandsMid.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHandsMid, , Hands, HumanFemaleDCS
Assets/UMA/Content/Core/HumanFemale/Recipes/Wardrobe Recipes/HumanFemale/FemaleSwappedFace.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleSwappedFace, Swapped face, Face, HumanFemaleDCS
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleHandsMid.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleHandsMid, Hands high quality, Hands, HumanMaleDCS
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleHandsMid.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleHandsMid, Hands high quality, Hands, HumanMale
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleLowPolyHead.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleLowPolyHead, Low Poly Head, AlternateHead, HumanMale
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleSmoothSkin.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSmoothSkin, Smooth, Complexion, HumanMale
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleSmoothSkin.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSmoothSkin, Smooth, Complexion, HumanMaleDCS
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleSmoothSkin.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSmoothSkin, Smooth, Complexion, HumanMaleLegacy
Assets/UMA/Content/Core/HumanMale/Recipes/WardrobeRecipes/MaleSmoothSkin.asset, UMA.CharacterSystem.UMAWardrobeRecipe, MaleSmoothSkin, Smooth, Complexion, HumanMaleHighPoly
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair1.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair1, Hair 1, Hair, HumanFemaleDCS
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair1.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair1, Hair 1, Hair, HumanFemale
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair2.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair2, Hair 2, Hair, HumanFemaleDCS
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair2.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair2, Hair 2, Hair, HumanFemale
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair3.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair3, Hair 3, Hair, HumanFemale
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemaleHair3.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemaleHair3, Hair 3, Hair, HumanFemaleDCS
Assets/UMA/Content/Example/HumanFemale/Recipes/WardrobeRecipes/HumanFemale/FemalePants1.asset, UMA.CharacterSystem.UMAWardrobeRecipe, FemalePants1, Pants 1, Legs, HumanFemaleDCS
